id,utc,hypothesis,change,code_hash,configuration,seed_role,seed_set,command,result,adopted
R2_D_dev30_negative,2026-09-12T13:01:38.004667+00:00,历史正负反馈通过连续朝向可行性提前裁短位置区域,24个凸单元，半径见证与连续朝向交集，独立退化及区域链核验,fcb66e36233ed2c4298ab94afd562344ccf0cd04157c58ee2756fc86434c76eb,R2_D_negative_cells.json,development,500001-500030,"python code/experiment.py --phase R2_D_dev30 --variants {""compact"": ""D_compact_optical.json"", ""negative"": ""R2_D_negative_cells.json""} --start 500001 --count 30 --role development --replay","{""phase"": ""R2_D_dev30"", ""baseline"": ""compact"", ""candidate"": ""negative"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 464.5020347096799, ""mean_per_source_candidate"": 461.68870907659436, ""improvement_percent"": 0.6056648675056705, ""p95_baseline"": 6573.70782985, ""p95_candidate"": 6577.7896641, ""p95_change_percent"": 0.062093332342283425, ""bootstrap_improvement_95_percent"": [0.17112414892744707, 1.0555664838771974], ""faster"": 20, ""slower"": 6, ""gate_passed"": false}",未晋级：0.606%改善不足门槛，继续研究横向细分
R2_B_dev30_before,2026-09-12T13:12:49.094345+00:00,Partial optical may avoid future RF and detours,Bounded partial optical before,50cce651ed36bfeede07532c0e68c4c3c00d2d76e6f11e87b87920ddceb58cf7,R2_B_partial_before.json,development,500001-500030,"python code/experiment.py --phase R2_B_dev30 --variants {""compact"": ""D_compact_optical.json"", ""before"": ""R2_B_partial_before.json"", ""after"": ""R2_B_partial_after.json"", ""both"": ""R2_B_partial.json""} --start 500001 --count 30 --role development --replay","{""phase"": ""R2_B_dev30"", ""baseline"": ""compact"", ""candidate"": ""before"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 464.5020347096799, ""mean_per_source_candidate"": 464.5598004591929, ""improvement_percent"": -0.012436059521055512, ""p95_baseline"": 6573.70782985, ""p95_candidate"": 6584.3015069, ""p95_change_percent"": 0.16115223438888382, ""bootstrap_improvement_95_percent"": [-0.14328847094687197, 0.09939438468609867], ""faster"": 10, ""slower"": 9, ""gate_passed"": false}",not_promoted_below_1_percent
R2_B_dev30_after,2026-09-12T13:12:50.039319+00:00,Partial optical may avoid future RF and detours,Bounded partial optical after,50cce651ed36bfeede07532c0e68c4c3c00d2d76e6f11e87b87920ddceb58cf7,R2_B_partial_after.json,development,500001-500030,"python code/experiment.py --phase R2_B_dev30 --variants {""compact"": ""D_compact_optical.json"", ""before"": ""R2_B_partial_before.json"", ""after"": ""R2_B_partial_after.json"", ""both"": ""R2_B_partial.json""} --start 500001 --count 30 --role development --replay","{""phase"": ""R2_B_dev30"", ""baseline"": ""compact"", ""candidate"": ""after"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 464.5020347096799, ""mean_per_source_candidate"": 464.217788745821, ""improvement_percent"": 0.061193696177574565, ""p95_baseline"": 6573.70782985, ""p95_candidate"": 6585.10328175, ""p95_change_percent"": 0.17334892567411053, ""bootstrap_improvement_95_percent"": [-0.002848219945708957, 0.13005429777509178], ""faster"": 10, ""slower"": 9, ""gate_passed"": false}",not_promoted_below_1_percent
R2_B_dev30_both,2026-09-12T13:12:51.274803+00:00,Partial optical may avoid future RF and detours,Bounded partial optical both,50cce651ed36bfeede07532c0e68c4c3c00d2d76e6f11e87b87920ddceb58cf7,R2_B_partial.json,development,500001-500030,"python code/experiment.py --phase R2_B_dev30 --variants {""compact"": ""D_compact_optical.json"", ""before"": ""R2_B_partial_before.json"", ""after"": ""R2_B_partial_after.json"", ""both"": ""R2_B_partial.json""} --start 500001 --count 30 --role development --replay","{""phase"": ""R2_B_dev30"", ""baseline"": ""compact"", ""candidate"": ""both"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 464.5020347096799, ""mean_per_source_candidate"": 464.5419900083751, ""improvement_percent"": -0.008601748907335342, ""p95_baseline"": 6573.70782985, ""p95_candidate"": 6587.43762585, ""p95_change_percent"": 0.20885923675608709, ""bootstrap_improvement_95_percent"": [-0.15023287013428646, 0.12464283118626482], ""faster"": 11, ""slower"": 11, ""gate_passed"": false}",not_promoted_below_1_percent
R2_ES_dev30_joint,2026-09-12T13:19:34.564740+00:00,Joint history mass or independently certified leaner skeleton improves complete-task cost,Joint weights only,8c1d5c673883126404b650b27a5fc99f40c8cc35eb7472d4223e097749c4d1da,R2_E_joint.json,development,500001-500030,"python code/experiment.py --phase R2_ES_dev30 --variants {""compact"": ""D_compact_optical.json"", ""joint"": ""R2_E_joint.json"", ""outer13"": ""R2_S_outer13.json""} --start 500001 --count 30 --role development --replay","{""phase"": ""R2_ES_dev30"", ""baseline"": ""compact"", ""candidate"": ""joint"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 464.5020347096799, ""mean_per_source_candidate"": 465.89422996327227, ""improvement_percent"": -0.29971779444680313, ""p95_baseline"": 6573.70782985, ""p95_candidate"": 6721.88936835, ""p95_change_percent"": 2.254154616168602, ""bootstrap_improvement_95_percent"": [-0.8335824300643214, 0.2564020231566915], ""faster"": 11, ""slower"": 19, ""gate_passed"": false}",not_promoted
R2_ES_dev30_outer13,2026-09-12T13:19:36.514136+00:00,Joint history mass or independently certified leaner skeleton improves complete-task cost,Keep 8 inner stations and use 13 outer stations at 1860 m,8c1d5c673883126404b650b27a5fc99f40c8cc35eb7472d4223e097749c4d1da,R2_S_outer13.json,development,500001-500030,"python code/experiment.py --phase R2_ES_dev30 --variants {""compact"": ""D_compact_optical.json"", ""joint"": ""R2_E_joint.json"", ""outer13"": ""R2_S_outer13.json""} --start 500001 --count 30 --role development --replay","{""phase"": ""R2_ES_dev30"", ""baseline"": ""compact"", ""candidate"": ""outer13"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 464.5020347096799, ""mean_per_source_candidate"": 451.4803254132404, ""improvement_percent"": 2.8033696998934015, ""p95_baseline"": 6573.70782985, ""p95_candidate"": 6437.851880949999, ""p95_change_percent"": -2.066656328763261, ""bootstrap_improvement_95_percent"": [1.1530258087325396, 4.509557634978219], ""faster"": 21, ""slower"": 9, ""gate_passed"": true}",advance_to_fresh_validation
R2_S22_val100_outer13,2026-09-12T13:33:42.775612+00:00,Fresh validation of continuously certified 22 station search,"8 inner 995 m plus 13 outer 1860 m, other D_COMPACT settings unchanged",8c1d5c673883126404b650b27a5fc99f40c8cc35eb7472d4223e097749c4d1da,R2_S_outer13.json,validation,510001-510100,"python code/experiment.py --phase R2_S22_val100 --variants {""compact"": ""D_compact_optical.json"", ""outer13"": ""R2_S_outer13.json""} --start 510001 --count 100 --role validation --replay","{""phase"": ""R2_S22_val100"", ""baseline"": ""compact"", ""candidate"": ""outer13"", ""pairs"": 100, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 100, ""mean_per_source_baseline"": 470.30375758178315, ""mean_per_source_candidate"": 457.1194768633423, ""improvement_percent"": 2.8033543227959803, ""p95_baseline"": 6714.69933185, ""p95_candidate"": 6450.4421329, ""p95_change_percent"": -3.93550307899182, ""bootstrap_improvement_95_percent"": [1.8131629738929913, 3.805717153348478], ""faster"": 76, ""slower"": 24, ""gate_passed"": true}",adopted_after_all_200_replays_and_independent_exit_audits
R2_IJ_balanced_dev30_inplace,2026-09-12T13:49:40.744853+00:00,Isolate action timing and finite-noise integration effects,Selected-task in-place RF / fixed synthetic spatial noise / balanced per-physical-model error integral: inplace,e4fc2b8246f92655bd483728b5245901c12ed8a7b4eac7f67799cedd290aad19,R2_I_selected_inplace.json,development,500001-500030,"python code/experiment.py --phase R2_IJ_balanced_dev30 --variants {""compact"": ""D_compact_optical.json"", ""inplace"": ""R2_I_selected_inplace.json"", ""spatial"": ""R2_J_spatial.json"", ""balanced"": ""R2_E_original_balanced.json"", ""joint_balanced"": ""R2_E_joint_balanced.json""} --start 500001 --count 30 --role development --replay","{""phase"": ""R2_IJ_balanced_dev30"", ""baseline"": ""compact"", ""candidate"": ""inplace"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 464.5020347096799, ""mean_per_source_candidate"": 462.97690137890623, ""improvement_percent"": 0.3283372766551787, ""p95_baseline"": 6573.70782985, ""p95_candidate"": 6574.03218855, ""p95_change_percent"": 0.0049341818711079455, ""bootstrap_improvement_95_percent"": [-0.20901282355590997, 0.9256869077816806], ""faster"": 17, ""slower"": 13, ""gate_passed"": false}",not_promoted
R2_IJ_balanced_dev30_spatial,2026-09-12T13:49:41.683140+00:00,Isolate action timing and finite-noise integration effects,Selected-task in-place RF / fixed synthetic spatial noise / balanced per-physical-model error integral: spatial,e4fc2b8246f92655bd483728b5245901c12ed8a7b4eac7f67799cedd290aad19,R2_J_spatial.json,development,500001-500030,"python code/experiment.py --phase R2_IJ_balanced_dev30 --variants {""compact"": ""D_compact_optical.json"", ""inplace"": ""R2_I_selected_inplace.json"", ""spatial"": ""R2_J_spatial.json"", ""balanced"": ""R2_E_original_balanced.json"", ""joint_balanced"": ""R2_E_joint_balanced.json""} --start 500001 --count 30 --role development --replay","{""phase"": ""R2_IJ_balanced_dev30"", ""baseline"": ""compact"", ""candidate"": ""spatial"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 464.5020347096799, ""mean_per_source_candidate"": 463.9928178328488, ""improvement_percent"": 0.10962640392939449, ""p95_baseline"": 6573.70782985, ""p95_candidate"": 6572.6145094, ""p95_change_percent"": -0.01663171650305717, ""bootstrap_improvement_95_percent"": [-0.18818220540726582, 0.3851336155982488], ""faster"": 14, ""slower"": 11, ""gate_passed"": false}",not_promoted
R2_IJ_balanced_dev30_balanced,2026-09-12T13:49:43.094299+00:00,Isolate action timing and finite-noise integration effects,Selected-task in-place RF / fixed synthetic spatial noise / balanced per-physical-model error integral: balanced,e4fc2b8246f92655bd483728b5245901c12ed8a7b4eac7f67799cedd290aad19,R2_E_original_balanced.json,development,500001-500030,"python code/experiment.py --phase R2_IJ_balanced_dev30 --variants {""compact"": ""D_compact_optical.json"", ""inplace"": ""R2_I_selected_inplace.json"", ""spatial"": ""R2_J_spatial.json"", ""balanced"": ""R2_E_original_balanced.json"", ""joint_balanced"": ""R2_E_joint_balanced.json""} --start 500001 --count 30 --role development --replay","{""phase"": ""R2_IJ_balanced_dev30"", ""baseline"": ""compact"", ""candidate"": ""balanced"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 464.5020347096799, ""mean_per_source_candidate"": 463.4043521964495, ""improvement_percent"": 0.2363138223746314, ""p95_baseline"": 6573.70782985, ""p95_candidate"": 6573.70782985, ""p95_change_percent"": 0.0, ""bootstrap_improvement_95_percent"": [-0.011259949185308055, 0.5550104941501157], ""faster"": 10, ""slower"": 7, ""gate_passed"": false}",not_promoted
R2_IJ_balanced_dev30_joint_balanced,2026-09-12T13:49:44.527669+00:00,Isolate action timing and finite-noise integration effects,Selected-task in-place RF / fixed synthetic spatial noise / balanced per-physical-model error integral: joint_balanced,e4fc2b8246f92655bd483728b5245901c12ed8a7b4eac7f67799cedd290aad19,R2_E_joint_balanced.json,development,500001-500030,"python code/experiment.py --phase R2_IJ_balanced_dev30 --variants {""compact"": ""D_compact_optical.json"", ""inplace"": ""R2_I_selected_inplace.json"", ""spatial"": ""R2_J_spatial.json"", ""balanced"": ""R2_E_original_balanced.json"", ""joint_balanced"": ""R2_E_joint_balanced.json""} --start 500001 --count 30 --role development --replay","{""phase"": ""R2_IJ_balanced_dev30"", ""baseline"": ""compact"", ""candidate"": ""joint_balanced"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 464.5020347096799, ""mean_per_source_candidate"": 466.1489464862909, ""improvement_percent"": -0.3545542653306948, ""p95_baseline"": 6573.70782985, ""p95_candidate"": 6713.16333975, ""p95_change_percent"": 2.121413264927252, ""bootstrap_improvement_95_percent"": [-0.8149354381538558, 0.11784887266738452], ""faster"": 10, ""slower"": 20, ""gate_passed"": false}",not_promoted
R2_IJ_balanced_dev30_joint_balanced,2026-09-12T13:49:45.099062+00:00,Isolate action timing and finite-noise integration effects,Selected-task in-place RF / fixed synthetic spatial noise / balanced per-physical-model error integral: joint_balanced,e4fc2b8246f92655bd483728b5245901c12ed8a7b4eac7f67799cedd290aad19,R2_E_joint_balanced.json,development,500001-500030,"python code/experiment.py --phase R2_IJ_balanced_dev30 --variants {""compact"": ""D_compact_optical.json"", ""inplace"": ""R2_I_selected_inplace.json"", ""spatial"": ""R2_J_spatial.json"", ""balanced"": ""R2_E_original_balanced.json"", ""joint_balanced"": ""R2_E_joint_balanced.json""} --start 500001 --count 30 --role development --replay","{""phase"": ""R2_IJ_balanced_dev30"", ""baseline"": ""balanced"", ""candidate"": ""joint_balanced"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 463.4043521964495, ""mean_per_source_candidate"": 466.1489464862909, ""improvement_percent"": -0.5922676981414946, ""p95_baseline"": 6573.70782985, ""p95_candidate"": 6713.16333975, ""p95_change_percent"": 2.121413264927252, ""bootstrap_improvement_95_percent"": [-1.1097193059654034, -0.06863599170105464], ""faster"": 9, ""slower"": 21, ""gate_passed"": false}",not_promoted
R2_LM_dev30_stable,2026-09-12T14:16:02.319726+00:00,Stable region quadrature reduces representation-driven planning error,Enable stable_quadrature only,d9cd3381ed53278a10a00cca648c6964f559cc52321d81717e5f6323409c6468,R2_L_stable_quadrature.json,development,500001-500030,"python code/experiment.py --phase R2_LM_dev30 --variants {""compact"": ""D_compact_optical.json"", ""stable"": ""R2_L_stable_quadrature.json"", ""single"": ""R2_M_adaptive_single.json"", ""single_stable"": ""R2_ML_single_stable.json""} --start 500001 --count 30 --role development --replay","{""phase"": ""R2_LM_dev30"", ""baseline"": ""compact"", ""candidate"": ""stable"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 464.5020347096799, ""mean_per_source_candidate"": 460.0515345394877, ""improvement_percent"": 0.9581228579491172, ""p95_baseline"": 6573.70782985, ""p95_candidate"": 6549.12696055, ""p95_change_percent"": -0.3739270125207361, ""bootstrap_improvement_95_percent"": [0.26007816843460546, 1.8266467382034095], ""faster"": 23, ""slower"": 7, ""gate_passed"": false}",not_promoted_development_gate_failed
R2_LM_dev30_single,2026-09-12T14:16:04.672903+00:00,One RF with full pair recovery avoids unnecessary paired travel,Enable adaptive_single only,d9cd3381ed53278a10a00cca648c6964f559cc52321d81717e5f6323409c6468,R2_M_adaptive_single.json,development,500001-500030,"python code/experiment.py --phase R2_LM_dev30 --variants {""compact"": ""D_compact_optical.json"", ""stable"": ""R2_L_stable_quadrature.json"", ""single"": ""R2_M_adaptive_single.json"", ""single_stable"": ""R2_ML_single_stable.json""} --start 500001 --count 30 --role development --replay","{""phase"": ""R2_LM_dev30"", ""baseline"": ""compact"", ""candidate"": ""single"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 464.5020347096799, ""mean_per_source_candidate"": 457.0160001672876, ""improvement_percent"": 1.6116257805137877, ""p95_baseline"": 6573.70782985, ""p95_candidate"": 6437.14158735, ""p95_change_percent"": -2.07746139674595, ""bootstrap_improvement_95_percent"": [0.24510027292302955, 2.9656466438300497], ""faster"": 24, ""slower"": 5, ""gate_passed"": true}",development_gate_passed_requires_new_validation
R2_LM_dev30_single_stable,2026-09-12T14:16:06.921762+00:00,Stable quadrature improves adaptive single decisions,Enable stable_quadrature on M only,d9cd3381ed53278a10a00cca648c6964f559cc52321d81717e5f6323409c6468,R2_ML_single_stable.json,development,500001-500030,"python code/experiment.py --phase R2_LM_dev30 --variants {""compact"": ""D_compact_optical.json"", ""stable"": ""R2_L_stable_quadrature.json"", ""single"": ""R2_M_adaptive_single.json"", ""single_stable"": ""R2_ML_single_stable.json""} --start 500001 --count 30 --role development --replay","{""phase"": ""R2_LM_dev30"", ""baseline"": ""single"", ""candidate"": ""single_stable"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 457.0160001672876, ""mean_per_source_candidate"": 444.16368695539074, ""improvement_percent"": 2.812223906207297, ""p95_baseline"": 6437.14158735, ""p95_candidate"": 6338.3804273999995, ""p95_change_percent"": -1.5342393609002136, ""bootstrap_improvement_95_percent"": [1.402759854323516, 4.494660727053866], ""faster"": 22, ""slower"": 8, ""gate_passed"": true}",development_gate_passed_requires_new_validation
R2_LM_dev30_single_stable,2026-09-12T14:16:07.724428+00:00,One RF improves the stabilized baseline,Enable adaptive_single on L only,d9cd3381ed53278a10a00cca648c6964f559cc52321d81717e5f6323409c6468,R2_ML_single_stable.json,development,500001-500030,"python code/experiment.py --phase R2_LM_dev30 --variants {""compact"": ""D_compact_optical.json"", ""stable"": ""R2_L_stable_quadrature.json"", ""single"": ""R2_M_adaptive_single.json"", ""single_stable"": ""R2_ML_single_stable.json""} --start 500001 --count 30 --role development --replay","{""phase"": ""R2_LM_dev30"", ""baseline"": ""stable"", ""candidate"": ""single_stable"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 460.0515345394877, ""mean_per_source_candidate"": 444.16368695539074, ""improvement_percent"": 3.4534930092127003, ""p95_baseline"": 6549.12696055, ""p95_candidate"": 6338.3804273999995, ""p95_change_percent"": -3.217933236284398, ""bootstrap_improvement_95_percent"": [2.176742344311083, 5.058530198073061], ""faster"": 29, ""slower"": 1, ""gate_passed"": true}",development_gate_passed_requires_new_validation
R2_SML_dev30_s22_ml,2026-09-12T14:44:52.005764+00:00,M and stable quadrature transfer to S22,Enable the previously screened ML action model on S22,3bb176f12580c899d24ca95e7f341f37d9ec27e739d6ee2c2aaa2a6ad552ef5a,R2_S22_ML.json,development,500001-500030,"python code/experiment.py --phase R2_SML_dev30 --variants {""s22"": ""R2_S_outer13.json"", ""s22_ml"": ""R2_S22_ML.json"", ""s22_o"": ""R2_S22_O.json"", ""s22_mlo"": ""R2_S22_MLO.json"", ""s22_mln"": ""R2_S22_MLN.json"", ""s21"": ""R2_S21_screen.json"", ""s21_ml"": ""R2_S21_ML.json""} --start 500001 --count 30 --role development --replay","{""phase"": ""R2_SML_dev30"", ""baseline"": ""s22"", ""candidate"": ""s22_ml"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 451.4803254132404, ""mean_per_source_candidate"": 441.2478840082312, ""improvement_percent"": 2.266420224545426, ""p95_baseline"": 6437.851880949999, ""p95_candidate"": 6348.519339549999, ""p95_change_percent"": -1.3876141149556487, ""bootstrap_improvement_95_percent"": [1.0752258272353348, 3.5210858471156166], ""faster"": 24, ""slower"": 6, ""gate_passed"": true}",development_gate_passed_requires_new_validation
R2_SML_dev30_s22_o,2026-09-12T14:44:53.360703+00:00,An informative scheduled scan can precede source commitment,Enable scan_before_commit only,3bb176f12580c899d24ca95e7f341f37d9ec27e739d6ee2c2aaa2a6ad552ef5a,R2_S22_O.json,development,500001-500030,"python code/experiment.py --phase R2_SML_dev30 --variants {""s22"": ""R2_S_outer13.json"", ""s22_ml"": ""R2_S22_ML.json"", ""s22_o"": ""R2_S22_O.json"", ""s22_mlo"": ""R2_S22_MLO.json"", ""s22_mln"": ""R2_S22_MLN.json"", ""s21"": ""R2_S21_screen.json"", ""s21_ml"": ""R2_S21_ML.json""} --start 500001 --count 30 --role development --replay","{""phase"": ""R2_SML_dev30"", ""baseline"": ""s22"", ""candidate"": ""s22_o"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 451.4803254132404, ""mean_per_source_candidate"": 456.8711072086347, ""improvement_percent"": -1.1940236355726341, ""p95_baseline"": 6437.851880949999, ""p95_candidate"": 6480.0346451000005, ""p95_change_percent"": 0.6552304235955209, ""bootstrap_improvement_95_percent"": [-2.544785504178794, -0.016396251291174946], ""faster"": 13, ""slower"": 17, ""gate_passed"": false}",not_promoted_development_gate_failed
R2_SML_dev30_s22_mlo,2026-09-12T14:44:54.947673+00:00,Scheduled scan promotion helps the ML action model,Enable scan_before_commit on S22ML only,3bb176f12580c899d24ca95e7f341f37d9ec27e739d6ee2c2aaa2a6ad552ef5a,R2_S22_MLO.json,development,500001-500030,"python code/experiment.py --phase R2_SML_dev30 --variants {""s22"": ""R2_S_outer13.json"", ""s22_ml"": ""R2_S22_ML.json"", ""s22_o"": ""R2_S22_O.json"", ""s22_mlo"": ""R2_S22_MLO.json"", ""s22_mln"": ""R2_S22_MLN.json"", ""s21"": ""R2_S21_screen.json"", ""s21_ml"": ""R2_S21_ML.json""} --start 500001 --count 30 --role development --replay","{""phase"": ""R2_SML_dev30"", ""baseline"": ""s22_ml"", ""candidate"": ""s22_mlo"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 441.2478840082312, ""mean_per_source_candidate"": 453.09953485548783, ""improvement_percent"": -2.685939417906769, ""p95_baseline"": 6348.519339549999, ""p95_candidate"": 6502.69159535, ""p95_change_percent"": 2.4284757996961392, ""bootstrap_improvement_95_percent"": [-4.3176681344202175, -1.1747586651073652], ""faster"": 9, ""slower"": 21, ""gate_passed"": false}",not_promoted_development_gate_failed
R2_SML_dev30_s22_mln,2026-09-12T14:44:56.579818+00:00,Canonical candidate geometry improves ML decisions,Enable canonical_single_candidates on S22ML only,3bb176f12580c899d24ca95e7f341f37d9ec27e739d6ee2c2aaa2a6ad552ef5a,R2_S22_MLN.json,development,500001-500030,"python code/experiment.py --phase R2_SML_dev30 --variants {""s22"": ""R2_S_outer13.json"", ""s22_ml"": ""R2_S22_ML.json"", ""s22_o"": ""R2_S22_O.json"", ""s22_mlo"": ""R2_S22_MLO.json"", ""s22_mln"": ""R2_S22_MLN.json"", ""s21"": ""R2_S21_screen.json"", ""s21_ml"": ""R2_S21_ML.json""} --start 500001 --count 30 --role development --replay","{""phase"": ""R2_SML_dev30"", ""baseline"": ""s22_ml"", ""candidate"": ""s22_mln"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 441.2478840082312, ""mean_per_source_candidate"": 441.5781304768556, ""improvement_percent"": -0.07484375123218694, ""p95_baseline"": 6348.519339549999, ""p95_candidate"": 6349.334027299999, ""p95_change_percent"": 0.012832720614475157, ""bootstrap_improvement_95_percent"": [-0.2377620147326258, 0.016272430517883376], ""faster"": 6, ""slower"": 8, ""gate_passed"": false}",not_promoted_development_gate_failed
R2_SML_dev30_s21,2026-09-12T14:44:58.154119+00:00,An independently proved 21-station plan improves full-scene cost,Replace the whole search skeleton by 8@999 plus 12@1869,3bb176f12580c899d24ca95e7f341f37d9ec27e739d6ee2c2aaa2a6ad552ef5a,R2_S21_screen.json,development,500001-500030,"python code/experiment.py --phase R2_SML_dev30 --variants {""s22"": ""R2_S_outer13.json"", ""s22_ml"": ""R2_S22_ML.json"", ""s22_o"": ""R2_S22_O.json"", ""s22_mlo"": ""R2_S22_MLO.json"", ""s22_mln"": ""R2_S22_MLN.json"", ""s21"": ""R2_S21_screen.json"", ""s21_ml"": ""R2_S21_ML.json""} --start 500001 --count 30 --role development --replay","{""phase"": ""R2_SML_dev30"", ""baseline"": ""s22"", ""candidate"": ""s21"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 451.4803254132404, ""mean_per_source_candidate"": 447.4236288548338, ""improvement_percent"": 0.89853230142277, ""p95_baseline"": 6437.851880949999, ""p95_candidate"": 6570.661336199999, ""p95_change_percent"": 2.0629467360532283, ""bootstrap_improvement_95_percent"": [-1.0851514194649063, 3.2452911599955656], ""faster"": 14, ""slower"": 16, ""gate_passed"": false}",not_promoted_development_gate_failed
R2_SML_dev30_s21_ml,2026-09-12T14:44:59.722776+00:00,ML actions improve the 21-station controller,Enable the previously screened ML model on S21,3bb176f12580c899d24ca95e7f341f37d9ec27e739d6ee2c2aaa2a6ad552ef5a,R2_S21_ML.json,development,500001-500030,"python code/experiment.py --phase R2_SML_dev30 --variants {""s22"": ""R2_S_outer13.json"", ""s22_ml"": ""R2_S22_ML.json"", ""s22_o"": ""R2_S22_O.json"", ""s22_mlo"": ""R2_S22_MLO.json"", ""s22_mln"": ""R2_S22_MLN.json"", ""s21"": ""R2_S21_screen.json"", ""s21_ml"": ""R2_S21_ML.json""} --start 500001 --count 30 --role development --replay","{""phase"": ""R2_SML_dev30"", ""baseline"": ""s21"", ""candidate"": ""s21_ml"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 447.4236288548338, ""mean_per_source_candidate"": 439.8264012897135, ""improvement_percent"": 1.6979942665444743, ""p95_baseline"": 6570.661336199999, ""p95_candidate"": 6457.513711649999, ""p95_change_percent"": -1.722012728408806, ""bootstrap_improvement_95_percent"": [-1.9114571579968893, 4.081587402685789], ""faster"": 27, ""slower"": 3, ""gate_passed"": true}",development_gate_passed_requires_new_validation
R2_SML_dev30_s21_ml,2026-09-12T14:45:00.377098+00:00,The 21-station plan improves the ML controller,Change only the complete search skeleton,3bb176f12580c899d24ca95e7f341f37d9ec27e739d6ee2c2aaa2a6ad552ef5a,R2_S21_ML.json,development,500001-500030,"python code/experiment.py --phase R2_SML_dev30 --variants {""s22"": ""R2_S_outer13.json"", ""s22_ml"": ""R2_S22_ML.json"", ""s22_o"": ""R2_S22_O.json"", ""s22_mlo"": ""R2_S22_MLO.json"", ""s22_mln"": ""R2_S22_MLN.json"", ""s21"": ""R2_S21_screen.json"", ""s21_ml"": ""R2_S21_ML.json""} --start 500001 --count 30 --role development --replay","{""phase"": ""R2_SML_dev30"", ""baseline"": ""s22_ml"", ""candidate"": ""s21_ml"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 441.2478840082312, ""mean_per_source_candidate"": 439.8264012897135, ""improvement_percent"": 0.3221506028777253, ""p95_baseline"": 6348.519339549999, ""p95_candidate"": 6457.513711649999, ""p95_change_percent"": 1.7168471303377286, ""bootstrap_improvement_95_percent"": [-2.078258788298325, 2.45478342616265], ""faster"": 16, ""slower"": 14, ""gate_passed"": false}",not_promoted_development_gate_failed
